COURSE_ID,TITLE,DESCRIPTION
DS0301EN,data privacy fundamentals,data privacy fundamentals
GPXX0RL8EN,consuming a restful java web service with angularjs,explore how to access a simple restful web service and consume its resources with angularjs in open liberty 
GPXX05LMEN,implement consumer driven contract testing for java microservices using the pact framework,learn how to test java microservices with consumer driven contracts in open liberty 
BD0111EN,hadoop 101,this free apache hadoop course introduces you to big data concepts  and teaches you how to perform distributed processing of large data sets with hadoop 
CC0101EN,introduction to cloud,this course introduces you to the core concepts of cloud computing  you will gain the foundational knowledge required for understanding cloud computing from both business and practitioner perspectives 
GPXX0UN5EN,classification of yelp reviews using sentiment analysis,sentiment analysis has become a very popular tool to extract subjective information from the social media and to help businesses understand the social sentiment of their brand  product or service   in this guided project  you will be introduced to several natural language processing techniques to help you derive some meaning from yelp business reviews  as well as to build and test a classification model to divide these reviews into positive or negative 
BD0221EN,spark mllib,spark provides a machine learning library known as mllib  mllib provides various machine learning algorithms such as classification  regression  clustering  and collaborative filtering  it also provides tools such as featurization  pipelines  persistence  and utilities for handing linear algebra operations  statistics and data handling 
CC0103EN,ibm cloud essentials   v3,this course introduces you to the ibm cloud  you will learn about the many offerings and services on ibm cloud that make it the most open and secure public cloud for developers and enterprises 
GPXX0TY1EN,performing database operations in the cloudant dashboard,in this guided project  you will launch ibm cloudant to explore database as a service  dbaas  operations  perform simple operations like querying or copying data  and monitor activities on the dashboard 
GPXX0T3CEN,working with databases in ibm cloudant,in this guided project  you will explore database operations in ibm cloud by working with real estate data 
PY0101EN,python for data science,this beginner friendly python course will take you from zero to programming in python in a matter of hours  you ll be able to write your own python scripts and perform basic hands on data analysis using our jupyter based lab environment 
CC0201EN,introduction to containers  kubernetes  and openshift v2,this course introduces the core concepts of containers and kubernetes and explains how containers differ from virtual machines  it also covers the importance of containers in cloud computing as well as the emerging ecosystem of related technologies such as docker  kubernetes  openshift  istio and knative 
BD0123EN,simplifying data pipelines with apache kafka,when you hear the terms  producer  consumer  topic category  broker  and cluster used together to describe a messaging system  something is brewing in the pipelines  get connected and learn what that is  and what it means 
DB0101EN,sql and relational databases 101,are you ready to dive into the world of sql and relational databases  in just a few hours  you ll be able to discuss sql basics and explain various aspects of the relational database model  try our hands on exercises as we guide your first steps into sql and relational databases 
GPXX05RDEN,medical appointment data analysis,in this notebook we will try to analyze why would some patients not show up for their medical appointment and whether there are reasons for that using the data we have 
DV0151EN,data visualization with r,data visualization is the presentation of data with graphics  it s a way to summarize your findings and display it in a form that facilitates interpretation and can help in identifying patterns or trends  in this course you will learn how to create beautiful graphics and charts  customizing the look and feel of them as you wish 
GPXX0BSAEN,implementing a graphql microservice using microprofile api to query and update data from multiple services,learn how to use microprofile graphql to query and update data from multiple services  and how to test graphql queries and mutations using an interactive graphql tool  graphiql  
GPXX0G81EN,consuming a restful java web service with reactjs,explore how to access a simple restful web service and consume its resources with reactjs in open liberty 
GPXX0FFCEN,building and testing a java web application with maven and open liberty,learn how to build and test a simple web application using maven and open liberty 
GPXX0MP0EN,building a hypermedia driven restful java microservice using hypermedia as the engine of application state  hateoas ,you‚ will explore how to use hypermedia as the engine of application state  hateoas  to drive your restful web service on open liberty 
DV0101EN,data visualization with python,data visualization is the graphical representation of data in order to interactively and efficiently convey insights to clients  customers  and stakeholders in general  it is a way to summarize your findings and display it in a form that facilitates interpretation and can help in identifying patterns or trends  in this data visualization with python course  you ll learn how to create interesting graphics and charts and customize them to make them more effective and more pleasing to your audience 
ML0103EN,digital analytics   regression,this course uses a case study approach to take you through the end to end process of identifying a business objective  designing the model to address it  sourcing the data and ultimately arriving at the insights  when you complete this course  you can apply these methods and principles in a variety of contexts  with big  medium or small data 
ML0151EN,machine learning with r,this machine learning with r course dives into the basics of machine learning using an approachable  and well known  programming language  you ll learn about supervised vs unsupervised learning  look into how statistical modeling relates to machine learning  and do a comparison of each 
GPXX01AVEN,containerizing and running java microservices in docker containers,learn how to containerize and run your microservices with open liberty using docker 
ML0120ENv2,deep learning with tensorflow,majority of data in the world are unlabeled and unstructured data  for instance images  sound  and text data  shallow neural networks cannot easily capture relevant structure in these kind of data  but deep networks are capable of discovering hidden structures within¬†these data  in this course  you will use tensorflow library to apply deep learning on different data types to solve real world problems 
RP0101EN,r for data science,are you ready to dive head first into r  in just a few hours you ll learn how to write your own r code  learn about data structures and create your own functions  you‚ will even be able to import data and do some operations  try our hands on exercises as we guide your first steps into your data science journey with r 
GPXX0G31EN,accessing and persisting data in microservices using java persistence api  jpa ,learn how to use java persistence api  jpa  to access and persist data to a database for your microservices 
GPXX0KY1EN,data science in health care  basic prognostication and geo visualization,in this guided project we will study how make predictions based on linear regression  obtain statistics and create interactive maps showing the dynamics of virus spread 
GPXX0JLHEN,enabling distributed tracing in java microservices using eclipse microprofile opentracing and the jaeger tracing system ,explore how to enable and customize tracing of jax rs and non jax rs methods by using microprofile opentracing and jaeger 
CC0150EN,building cloud native and multicloud applications,in this course  we will cover the core concepts and practices of building and running cloud native applications and how to run these applications in a multicloud environment  we will cover technologies and practices including  microservices  devops  ci cd  docker  kubernetes  and openshift 
GPXX0QQ3EN,deploy an ai powered discord bot with a voice,discord is a fantastic way to connect with your friends or host a community and a bot is a perfect way to add features to your server  not only will this guided project show you how to get started in creating a bot  but you ll also learn how to power it with an ai chatbot and give it a voice  finally  you ll host it somewhere so that the bot is online without your computer being on  all of this for free 
GPXX0RQLEN,views in postgresql,in this project  you will learn how to create and execute views and materialized views in the postgresql database service using the pgadmin graphical user interface  gui  tool  materialized views behave differently compared to regular views  in materialized views  result set is materialized or saved for future use  you can t insert  update  or delete rows like in regular views  materialized views can improve performance 
GPXX0WRDEN,streaming updates from a microprofile reactive messaging microservice using server sent events  sse ,learn how to stream updates from a microprofile reactive messaging service to a front end client by using server sent events  sse  
GPXX0ADEN,consuming a restful java web service with angular,explore how to access a simple restful web service and consume its resources with angular in open liberty 
ML0120ENv3,deep learning with tensorflow,majority of data in the world are unlabeled and unstructured data  for instance images  sound  and text data  shallow neural networks cannot easily capture relevant structure in these kind of data  but deep networks are capable of discovering hidden structures within¬†these data  in this course  you will use tensorflow library to apply deep learning on different data types to solve real world problems 
SC0105EN,data science with scala,apache spark is a fast and general engine for large scale data processing  with built in modules for streaming  sql  machine learning and graph processing  this course shows how to use spark  s machine learning pipelines to fit models and search for optimal hyperparameters using a spark cluster 
excourse01,relational database systems,welcome to the specialization course relational database systems  this course will be completed on six weeks  it will be supported with videos and various documents that will allow you to learn in a very simple way how several types of information systems and databases are available to solve different problems and needs of the companies  objective  a learner will be able to design  test  and implement analytical  transactional or nosql database systems according to business requirements by programming reliable  scalable and maintainable applications and resources using sql and hadoop ecosystem  programming languages  for course 1 you will use the mysql language  software to download  mysql workbench in case you have a mac   ios operating system you will need to use a virtual machine  virtualbox  vmware  
excourse02,business intelligence and data warehousing,welcome to the specialization course business intelligence and data warehousing  this course will be completed on six weeks  it will be supported with videos and various documents that will allow you to learn in a very simple way how to identify  design and develop analytical information systems  such as business intelligence with a descriptive analysis on data warehouses  you will be able to understand the problem of integration and predictive analysis of high volume of unstructured data  big data  with data mining and the hadoop framework 
excourse03,nosql systems,"welcome to the specialization course of nosql systems  

this course will be completed on six weeks  it will be supported with videos and exercises that will allow you to identify the differences between the relational and nosql databases  
as part of these alternative technologies the student will learn the main characteristics and how to implement the typical nosql databases  such as key value  columnar  document and graph  
let s start 

after completing this course  a learner will be able to
identify what type of nosql database to implement based on business requirements  key value  document  full text  graph  etc  
apply nosql data modeling from application specific queries
use atomic aggregates and denormalization as data modelling techniques to optimize query processing

software to download 
mongodb
neo4j
sapiq
cassandra"
excourse04,"
sql for data science","as data collection has increased exponentially  so has the need for people skilled at using and interacting with data  to be able to think critically  and provide insights to make better decisions and optimize their businesses  this is a data scientist    part mathematician  part computer scientist  and part trend spotter    sas institute  inc    according to glassdoor  being a data scientist is the best job in america  with a median base salary of  110 000 and thousands of job openings at a time  the skills necessary to be a good data scientist include being able to retrieve and work with data  and to do that you need to be well versed in sql  the standard language for communicating with database systems 

this course is designed to give you a primer in the fundamentals of sql and working with data so that you can begin analyzing it for data science purposes  you will begin to ask the right questions and come up with good answers to deliver valuable insights for your organization  this course starts with the basics and assumes you do not have any knowledge or skills in sql  it will build on that foundation and gradually have you write both simple and complex queries to help you select data from tables   you ll start to work with different types of data like strings and numbers and discuss methods to filter and pare down your results  

you will create new tables and be able to move data into them  you will learn common operators and how to combine the data  you will use case statements and concepts like data governance and profiling  you will discuss topics on data  and practice using real world programming assignments  you will interpret the structure  meaning  and relationships in source data and use sql as a professional to shape your data for targeted analysis purposes  

although we do not have any specific prerequisites or software requirements to take this course  a simple text editor is recommended for the final project  so what are you waiting for  this is your first step in landing a job in the best occupation in the us and soon the world "
excourse05,"
distributed computing with spark sql","this course is all about big data  it  s for students with sql experience that want to take the next step on their data journey by learning distributed computing using apache spark  students will gain a thorough understanding of this open source standard for working with large datasets  students will gain an understanding of the fundamentals of data analysis using sql on spark  setting the foundation for how to combine data with advanced analytics at scale and in production environments  the four modules build on one another and by the end of the course you will understand  the spark architecture  queries within spark  common ways to optimize spark sql  and how to build reliable data pipelines  

the first module introduces spark and the databricks environment including how spark distributes computation and spark sql  module 2 covers the core concepts of spark such as storage vs  compute  caching  partitions  and troubleshooting performance issues via the spark ui  it also covers new features in apache spark 3 x such as adaptive query execution  the third module focuses on engineering data pipelines including connecting to databases  schemas and data types  file formats  and writing reliable data  the final module covers data lakes  data warehouses  and lakehouses  students build production grade data pipelines by combining spark with the open source project delta lake  by the end of this course  students will hone their sql and distributed computing skills to become more adept at advanced analysis and to set the stage for transitioning to more advanced analytics as data scientists "
excourse06,"
sql for data science capstone project","data science is a dynamic and growing career field that demands knowledge and skills based in sql to be successful  this course is designed to provide you with a solid foundation in applying sql skills to analyze data and solve real business problems 

whether you have successfully completed the other courses in the learn sql basics for data science specialization or are taking just this course  this project is your chance to apply the knowledge and skills you have acquired to practice important sql  querying and solve problems with data  you will participate in your own personal or professional journey to create a portfolio worthy piece from start to finish  you will choose a dataset and develop a project proposal  you will explore your data and perform some initial statistics you have learned through this specialization  you will uncover analytics for qualitative data and consider new metrics that make sense from the patterns that surface in your analysis  you will put all of your work together in the form of a presentation where you will tell the story of your findings  along the way  you will receive feedback through the peer review process  this community of fellow learners will provide additional input to help you refine your approach to data analysis with sql and present your findings to clients and management "
excourse07,database management essentials,database management essentials provides the foundation you need for a career in database development  data warehousing  or business intelligence  as well as for the entire data warehousing for business intelligence specialization  in this course  you will create relational databases  write sql statements to extract information to satisfy business reporting requests  create entity relationship diagrams  erds  to design databases  and analyze table designs for excessive redundancy  as you develop these skills  you will use either oracle  mysql  or postgresql to execute sql statements and a database diagramming tool such as the er assistant or visual paradigm to create erds  we  ve designed this course to ensure a common foundation for specialization learners  everyone taking the course can jump right in with writing sql statements in oracle  mysql  or postgresql 
excourse08,using databases with python,"this course will introduce students to the basics of the structured query language  sql  as well as basic database design for storing data as part of a multi step data gathering  analysis  and processing effort   the course will use sqlite3 as its database   we will also build web crawlers and multi step data gathering and visualization processes   we will use the d3 js library to do basic data visualization   this course will cover chapters 14 15 of the book   python for everybody    to succeed in this course  you should be familiar with the material covered in chapters 1 13 of the textbook and the first three courses in this specialization  this course covers python 3 
"
excourse09,process data from dirty to clean,"in this course  you  ll continue to build your understanding of data analytics and the concepts and tools that data analysts use in their work  you  ll learn how to check and clean your data using spreadsheets and sql as well as how to verify and report your data cleaning results  current google data analysts will continue to instruct and provide you with hands on ways to accomplish common data analyst tasks with the best tools and resources 

learners who complete this certificate program will be equipped to apply for introductory level jobs as data analysts  no previous experience is necessary 

by the end of this course  you will be able to do the following 
   learn how to check for data integrity 
   discover data cleaning techniques using spreadsheets  
   develop basic sql queries for use on databases 
   apply basic sql functions for cleaning and transforming data 
   gain an understanding of how to verify the results of cleaning data 
   explore the elements and importance of data cleaning reports "
excourse10,database architecture  scale  and nosql with elasticsearch,"you will explore database architecture  postgresql  and various scalable deployment configurations  you will see how postgresql implements basic crud operations and indexes  and review how transactions and the acid  atomicity  consistency  isolation  durability  requirements are implemented  

you  ll learn to use elasticsearch nosql  which is a common nosql database and a supplement to a relational database to high speed search and indexing  we will examine elasticsearch as an example of a base style  basic availability  soft state  eventual consistency  database approach  as well as compare and contrast the advantages and challenges associated with acid and base databases "
excourse11,the nature of data and relational database design,"this course provides a comprehensive overview of data  various data types  design of databases for storage of data  and creation and manipulation of data in databases using sql  by the end of this course  students will be able to describe what business intelligence is and how it  s different from business analytics and data science  conduct a basic descriptive statistical analysis and articulate the findings  and differentiate between types of statistics  they will also be able to define normalization and etl  create an erd that shows progression from conceptual to logical to physical design  define ddl  dml  dcl  and tcl  and write sql scripts to create a database and associated tables 
"
excourse12,python scripting  files  inheritance  and databases,"this course is the third course in a series that aims to prepare you for a role working as a programmer  in this course  you will be introduced to the three main concepts in programming  files  inheritance and external libaries   labs will allow the students to apply the material in the lectures in simple computer programs designed to re enforce the material in the lesson 
"
excourse13,relational database support for data warehouses,"relational database support for data warehouses is the third course in the data warehousing for business intelligence specialization  in this course  you ll use analytical elements of sql for answering business intelligence questions  you ll learn features of relational database management systems for managing summary data commonly used in business intelligence reporting  because of the importance and difficulty of managing implementations of data warehouses  we ll also delve into storage architectures  scalable parallel processing  data governance  and big data impacts  in the assignments in this course  you can use either oracle or postgresql 
"
excourse14,introduction to structured query language  sql ,"in this course  you ll walk through installation steps for installing a text editor  installing mamp or xampp  or equivalent  and creating a mysql database  you ll learn about single table queries and the basic syntax of the sql language  as well as database design with multiple tables  foreign keys  and the join operation  lastly  you ll learn to model many to many relationships like those needed to represent users  roles  and courses 
"
excourse15,crash course on python,"this course is designed to teach you the foundations in order to write simple programs in python using the most common structures  no previous exposure to programming is needed  by the end of this course  you ll understand the benefits of programming in it roles  be able to write simple programs using python  figure out how the building blocks of programming fit together  and combine all of this knowledge to solve a complex programming problem  

we ll start off by diving into the basics of writing a computer program  along the way  you  ll get hands on experience with programming concepts through interactive exercises and real world examples  you  ll quickly start to see how computers can perform a multitude of tasks    you just have to write code that tells them what to do "
excourse16,programming for everybody  getting started with python ,"this course aims to teach everyone the basics of programming computers using python  we cover the basics of how one constructs a program from a series of simple instructions in python   the course has no pre requisites and avoids all but the simplest mathematics  anyone with moderate computer experience should be able to master the materials in this course  this course will cover chapters 1 5 of the textbook   python for everybody     once a student completes this course  they will be ready to take more advanced programming courses  this course covers python 3 
"
excourse17,python basics,"this course introduces the basics of python 3  including conditional execution and iteration as control structures  and strings and lists as data structures  you ll program an on screen turtle to draw pretty pictures  you ll also learn to draw reference diagrams as a way to reason about program executions  which will help to build up your debugging skills  the course has no prerequisites  it will cover chapters 1 9 of the textbook   fundamentals of python programming    which is the accompanying text  optional and free  for this course 

the course is for you if you re a newcomer to python programming  if you need a refresher on python basics  or if you may have had some exposure to python programming but want a more in depth exposition and vocabulary for describing and reasoning about programs "
excourse18,python programming  a concise introduction,"the goal of the course is to introduce students to python version 3 x programming using hands on instruction  it will show how to install python and use the spyder ide  integrated development environment  for writing and debugging programs  the approach will be to present an example followed by a small exercise where the learner tries something similar to solidify a concept   at the end of each module there will be an exercise where the student is required to write simple programs and submit them for grading   it is intended for students with little or no programming background  although students with such a background should be able to move forward at their preferred pace 

the course is four modules long and is designed to be completed in four weeks "
excourse19,introduction to python programming,"this course provides an introduction to programming and the python language   students are introduced to core programming concepts like data structures  conditionals  loops  variables  and functions   this course includes an overview of the various tools available for writing and running python  and gets students coding quickly   it also provides hands on coding exercises using commonly used data structures  writing custom functions  and reading and writing to files  this course may be more robust than some other introductory python courses  as it delves deeper into certain essential programming topics 
"
excourse20,python and statistics for financial analysis,"python is now becoming the number 1 programming language for data science  due to python  s simplicity and high readability  it is gaining its importance in the financial industry   the course combines both python coding and statistical concepts and applies into analyzing financial data  such as stock data 

by the end of the course  you can achieve the following using python 

  import  pre process  save and visualize financial data into pandas dataframe

  manipulate the existing financial data by generating new variables using multiple columns

  recall and apply the important statistical concepts  random variable  frequency  distribution  population and sample  confidence interval  linear regression  etc    into financial contexts

  build a trading model using multiple linear regression model 

  evaluate the performance of the trading model using different investment indicators

jupyter notebook environment is configured in the course platform for practicing python coding without installing any client applications 
"
excourse21,applied machine learning in python,"this course will introduce the learner to applied machine learning  focusing more on the techniques and methods than on the statistics behind these methods  the course will start with a discussion of how machine learning is different than descriptive statistics  and introduce the scikit learn toolkit through a tutorial  the issue of dimensionality of data will be discussed  and the task of clustering data  as well as evaluating those clusters  will be tackled  supervised approaches for creating predictive models will be described  and learners will be able to apply the scikit learn predictive modelling methods while understanding process issues related to data generalizability  e g  cross validation  overfitting   the course will end with a look at more advanced techniques  such as building ensembles  and practical limitations of predictive models  by the end of this course  students will be able to identify the difference between a supervised  classification  and unsupervised  clustering  technique  identify which technique they need to apply for a particular dataset and need  engineer features to meet that need  and write python code to carry out an analysis  

this course should be taken after introduction to data science in python and applied plotting  charting   data representation in python and before applied text mining in python and applied social analysis in python "
excourse22,introduction to data science in python,"this course will introduce the learner to the basics of the python programming environment  including fundamental python programming techniques such as lambdas  reading and manipulating csv files  and the numpy library  the course will introduce data manipulation and cleaning techniques using the popular python pandas data science library and introduce the abstraction of the series and dataframe as the central data structures for data analysis  along with tutorials on how to use functions such as groupby  merge  and pivot tables effectively  by the end of this course  students will be able to take tabular data  clean it  manipulate it  and run basic inferential statistical analyses  

this course should be taken before any of the other applied data science with python courses  applied plotting  charting   data representation in python  applied machine learning in python  applied text mining in python  applied social network analysis in python "
excourse23,data analysis using python,"this course provides an introduction to basic data science techniques using python   students are introduced to core concepts like data frames and joining data  and learn how to use data analysis libraries like pandas  numpy  and matplotlib   this course provides an overview of loading  inspecting  and querying real world data  and how to answer basic questions about that data   students will gain skills in data aggregation and summarization  as well as basic data visualization 
"
excourse24,introduction to cloud computing,"this course introduces you to the core concepts of cloud computing  you gain the foundational knowledge required for understanding cloud computing from a business perspective as also for becoming a cloud practitioner  you understand the definition and essential characteristics of cloud computing  its history  the business case for cloud computing  and emerging technology usecases enabled by cloud  we introduce you to some of the prominent service providers of our times  e g  aws  google  ibm  microsoft  etc   the services they offer  and look at some case studies of cloud computing across industry verticals  

you learn about the various cloud service models  iaas  paas  saas  and deployment models  public  private  hybrid  and the key components of a cloud infrastructure  vms  networking  storage   file  block  object  cdn   we also cover emergent cloud trends and practices including   hybrid multicloud  microservices  serverless  devops  cloud native and application modernization  and we go over the basics of cloud security  monitoring  and different job roles in the cloud industry  

even though this course does not require any prior cloud computing or programming experience  by the end of the course  you will have created your own account on ibm cloud and gained some hands on experience by provisioning a cloud service and working with it 

this course is suitable for a large variety of audiences   whether you are an executive   manager   student who wants to become familiar with cloud computing terminology and concepts  or someone who wants foundational  grounding in cloud computing to start a career in this field or become a cloud practitioner   such as a cloud engineer  developer  analyst  etc 

the completion of this course also makes you eligible to earn the cloud computing core ibm digital badge   more information about the badge can be found here  https   www youracclaim com org ibm badge introduction to cloud computing"
excourse25,cloud computing basics  cloud 101 ,"welcome to cloud computing basics  cloud 101   

over the next few weeks  we will discuss the basics of cloud computing  what it is  what it supports  and how it is delivered  we will delve into storage services  cloud economics  levels of managed infrastructure  and azure services  we will also explore different deployment models of cloud computing  as well as several hosting scenarios  last but not least  we will compare some of the cloud platforms and discuss the future of cloud computing "
excourse26,cloud computing foundations,"welcome to the first course in the building cloud computing solutions at scale specialization  in this course  you will learn how to build foundational cloud computing infrastructure  including websites involving serverless technology and virtual machines  you will also learn how to apply agile software development techniques to projects which will be useful in building portfolio projects and global scale cloud infrastructures  

this course is ideal for beginners as well as intermediate students interested in applying cloud computing to data science  machine learning and data engineering  students should have beginner level linux and intermediate level python skills  for your project in this course  you will build a statically hosted website using the hugo framework  aws code pipelines  aws s3 and github "
excourse27,cloud computing concepts  part 1,"cloud computing systems today  whether open source or used inside companies  are built using a common set of core techniques  algorithms  and design philosophies    all centered around distributed systems  learn about such fundamental distributed computing   concepts   for cloud computing 

some of these concepts include  clouds  mapreduce  key value nosql stores  classical distributed algorithms  widely used distributed algorithms  scalability  trending areas  and much  much more  
 
know how these systems work from the inside out  get your hands dirty using these concepts with provided homework exercises  in the programming assignments  implement some of these concepts in template code  programs  provided in the c++ programming language  prior experience with c++ is required 
 
the course also features interviews with leading researchers and managers  from both industry and academia "
excourse28,fundamentals of cloud computing,"this course is the second of a series that aims to prepare you for a role working in data analytics  in this course  you will be introduced to many of the core concepts of cloud computing  you will learn about the primary deployment models  we  ll go through the common cloud computing service models  the hands on material offers the opportunity to review and configure a cloud account  this course covers a wide variety of topics that are critical for understanding cloud computing and are designed to give you an introduction and overview as you begin to build relevant knowledge and skills 
"
excourse29,cloud computing concepts  part 2,"cloud computing systems today  whether open source or used inside companies  are built using a common set of core techniques  algorithms  and design philosophies    all centered around distributed systems  learn about such fundamental distributed computing   concepts   for cloud computing 

some of these concepts include  clouds  mapreduce  key value nosql stores  classical distributed algorithms  widely used distributed algorithms  scalability  trending areas  and much  much more  
 
know how these systems work from the inside out  get your hands dirty using these concepts with provided homework exercises  in the programming assignments  implement some of these concepts in template code  programs  provided in the c++ programming language  prior experience with c++ is required 
 
the course also features interviews with leading researchers and managers  from both industry and academia "
excourse30,cloud computing applications  part 1  cloud systems and infrastructure,"welcome to the cloud computing applications course  the first part of a two course series designed to give you a comprehensive view on the world of cloud computing and big data  

in this first course we cover a multitude of technologies that comprise the modern concept of cloud computing  cloud computing is an information technology revolution that has just started to impact many enterprise computing systems in major ways  and it will change the face of computing in the years to come 

we start the first week by introducing some major concepts in cloud computing  the economics foundations of it and we introduce the concept of big data  we also cover the concept of software defined architectures  and how virtualization results in cloud infrastructure and how cloud service providers organize their offerings  in week two  we cover virtualization and containers with deeper focus  including lectures on docker  jvm and kubernates  we finish up week two by comparing the infrastructure as a service offering by the big three  amazon  google and microsoft  
week three moves to higher level of cloud offering  including platform as a service  mobile backend as a service and even serverless architectures  we also talk about some of the cloud middleware technologies that are fundamental to cloud based applications such as rpc and rest  json and load balancing  week three also covers metal as a service  maas   where physical machines are provisioned in a cloud environment  
week four introduces higher level cloud services with special focus on cloud storage services  we introduce hive  hdfs and ceph as pure big data storage and file systems  and move on to cloud object storage systems  virtual hard drives and virtual archival storage options  as discussion on dropbox cloud solution wraps up week 4 and the course "
excourse31,cloud computing applications  part 2  big data and applications in the cloud,"welcome to the cloud computing applications course  the second part of a two course series designed to give you a comprehensive view on the world of cloud computing and big data 

in this second course we continue cloud computing applications by exploring how the cloud opens up data analytics of huge volumes of data that are static or streamed at high velocity and represent an enormous variety of information  cloud applications and data analytics represent a disruptive change in the ways that society is informed by  and uses information  we start the first week by introducing some major systems for data analysis including spark and the major frameworks and distributions of analytics applications including hortonworks  cloudera  and mapr  by the middle of week one we introduce the hdfs distributed and robust file system that is used in many applications like hadoop and finish week one by exploring the powerful mapreduce programming model and how distributed operating systems like yarn and mesos support a flexible and scalable environment for big data analytics  in week two  our course introduces large scale data storage and the difficulties and problems of consensus in enormous stores that use quantities of processors  memories and disks  we discuss eventual consistency  acid  and base and the consensus algorithms used in data centers including paxos and zookeeper  our course presents distributed key value stores and in memory databases like redis used in data centers for performance  next we present nosql databases  we visit hbase  the scalable  low latency database that supports database operations in applications that use hadoop  then again we show how spark sql can program sql queries on huge data  we finish up week two with a presentation on distributed publish subscribe systems using kafka  a distributed log messaging system that is finding wide use in connecting big data and streaming applications together to form complex systems  week three moves to fast data real time streaming and introduces storm technology that is used widely in industries such as yahoo  we continue with spark streaming  lambda and kappa architectures  and a presentation of the streaming ecosystem  week four focuses on graph processing  machine learning  and deep learning  we introduce the ideas of graph processing and present pregel  giraph  and spark graphx  then we move to machine learning with examples from mahout and spark  kmeans  naive bayes  and fpm are given as examples  spark ml and mllib continue the theme of programmability and application construction  the last topic we cover in week four introduces deep learning technologies including theano  tensor flow  cntk  mxnet  and caffe on spark "
excourse32,introduction to data analytics,"this course presents a gentle introduction into the concepts of data analysis  the role of a data analyst  and the tools that are used to perform daily functions  you will gain an understanding of the data ecosystem and the fundamentals of data analysis  such as data gathering or data mining   you will then learn the soft skills that are required to effectively communicate your data to stakeholders  and how mastering these skills can give you the option to become a data driven decision maker 

this course will help you to differentiate between the roles of a data analyst  data scientist  and data engineer  you will learn the responsibilities of a data analyst and exactly what data analysis entails  you will be able to summarize the data ecosystem  such as databases and data warehouses  you will then uncover the major vendors within the data ecosystem and explore the various tools on premise and in the cloud  continue this exciting journey and discover big data platforms such as hadoop  hive  and spark  by the end of this course you will be able to visualize the daily life of a data analyst  understand the different career paths that are available for data analytics  and identify the many resources available for mastering this profession 

     throughout this course you will learn the key aspects to data analysis  you will begin to explore the fundamentals of gathering data  and learning how to identify your data sources  you will then learn how to clean  analyze  and share your data with the use of visualizations and dashboard tools  this all comes together in the final project where it will test your knowledge of the course material  explore what it means to be a data analyst  and provide a real world scenario of data analysis  "
excourse33,excel basics for data analysis,"this course is designed to provide you with basic working knowledge for using excel spreadsheets for data analysis  it covers some of the first steps for working with spreadsheets and their usage in the process of analyzing data   it includes plenty of videos  demos  and examples for you to learn  followed by step by step instructions for you to apply and practice on a live spreadsheet 

excel is an essential tool for working with data   whether for business  marketing  data analytics  or research  this course is suitable for those aspiring to take up data analysis or data science as a profession  as well as those who just want to use excel for data analysis in their own domains  you will gain valuable experience in cleansing and wrangling data using functions and then analyze your data using techniques like filtering  sorting and creating pivot tables    

this course starts with an introduction to spreadsheets like microsoft excel and google sheets and loading data from multiple formats  with this introduction you will then learn to perform some basic level data wrangling and cleansing tasks and continue to expand your knowledge of analyzing data through the use of filtering  sorting  and using pivot tables within the spreadsheet  by performing these tasks throughout the course  it will give you an understanding of how spreadsheets can be used as a data analysis tool and understand its limitations  

there is a strong focus on practice and applied learning in this course  with each lab  you will gain hands on experience in manipulating data and begin to understand the important role of spreadsheets  clean and analyze your data faster by understanding functions in the formatting of data  you will then convert your data to a pivot table and learn its features to make your data organized and readable  the final project enables you to show off your newly acquired data analysis skills  by the end of this course you will have worked with several data sets and spreadsheets and demonstrated the basics of cleaning and analyzing data all without having to learn any code  

getting started with excel is made easy in this course  it does not require any prior experience with spreadsheets or coding  nor does it require downloads or installation of any software  all you need is a device with a modern web browser  and ability to create a microsoft account to access excel online at no cost   however if you already have a desktop version of excel  you can follow along quite easily as well "
excourse34,introduction to data analysis,"with this course  you will begin to take the first steps in the world of data analysis  you will see in detail the main concepts and processes that make up this discipline  the main goal of the course is acquisition of knowledge about the mathematical and statistical basics underlying the main ideas and approaches used in data science  this is achieved through setting and solving typical tasks  which a researcher in the field of data science can face in his work  you will get practical skills in working with data analysis tools used in different spheres of human activity  you will be acquainted with the main tasks  methods and basic algorithms  as well as with the spheres of their practical applications  you will know how applied problems of data processing and analysis are being solved  you will be acquainted with the main concepts of artificial neural networks and the ways they are being trained 
"
excourse35,introduction to predictive modeling,"welcome to introduction to predictive modeling  the first course in the university of minnesota  s analytics for decision making specialization 

this course will introduce to you the concepts  processes  and applications of predictive modeling  with a focus on linear regression and time series forecasting models and their practical use in microsoft excel  by the end of the course  you will be able to 

           understand the concepts  processes  and applications of predictive modeling 
           understand the structure of and intuition behind linear regression models 
           be able to fit simple and multiple linear regression models to data  interpret the results  evaluate the goodness of fit  and use fitted models to make predictions 
           understand the problem of overfitting and underfitting and be able to conduct simple model selection 
           understand the concepts  processes  and applications of time series forecasting as a special type of predictive modeling 
           be able to fit several time series forecasting models  e g   exponential smoothing and holt winter  s method  in excel  evaluate the goodness of fit  and use fitted models to make forecasts 
           understand different types of data and how they may be used in predictive models 
           use excel to prepare data for predictive modeling  including exploring data patterns  transforming data  and dealing with missing values 

this is an introductory course to predictive modeling  the course provides a combination of conceptual and hands on learning  during the course  we will provide you opportunities to practice predictive modeling techniques on real world datasets using excel "
